id_partido,fecha,equipo_local,equipo_visitante,local_pct_anota_1inn_local,local_pct_anota_1inn_ult15,visit_pct_anota_1inn_visit,visit_pct_anota_1inn_ult15,pitcher_local_pct_permite_carrera_suavizado,pitcher_visit_pct_permite_carrera_suavizado,game_yrfi_target,home_yrfi_target,away_yrfi_target
778412,2025-04-07,Kansas City Royals,Minnesota Twins,0.3333,0.3333,0.3333,0.4444,0.2957,0.2957,1,1,0
778413,2025-04-08,Arizona Diamondbacks,Baltimore Orioles,0.25,0.4,0.4286,0.5,0.2794,0.2794,1,0,1
778405,2025-04-08,Seattle Mariners,Houston Astros,0.0,0.2,0.6667,0.2222,0.3393,0.298,0,0,0
778410,2025-04-08,San Francisco Giants,Cincinnati Reds,0.3333,0.2222,0.25,0.3,0.3375,0.2786,0,0,0
778414,2025-04-08,Athletics,San Diego Padres,0.3333,0.3,0.3333,0.4,0.3356,0.3356,1,0,1
778403,2025-04-08,Detroit Tigers,New York Yankees,0.5,0.5,0.25,0.5,0.2779,0.2953,0,0,0
778402,2025-04-08,Cleveland Guardians,Chicago White Sox,0.0,0.4444,0.6667,0.4444,0.2761,0.2933,0,0,0
778407,2025-04-08,New York Mets,Miami Marlins,0.25,0.2,0.3333,0.3,0.2743,0.3331,1,1,1
778408,2025-04-08,Pittsburgh Pirates,St. Louis Cardinals,0.25,0.1818,0.25,0.4,0.2782,0.337,0,0,0
778409,2025-04-08,Washington Nationals,Los Angeles Dodgers,0.4286,0.3,0.1667,0.25,0.3133,0.3133,1,1,0
778404,2025-04-08,Boston Red Sox,Toronto Blue Jays,0.5,0.2727,0.0,0.2727,0.2775,0.2948,0,0,0
778417,2025-04-08,Tampa Bay Rays,Los Angeles Angels,0.3333,0.2222,0.3333,0.4444,0.293,0.293,0,0,0
778406,2025-04-08,Atlanta Braves,Philadelphia Phillies,0.0,0.2222,0.0,0.2222,0.3328,0.274,1,0,1
778401,2025-04-08,Chicago Cubs,Texas Rangers,0.3333,0.3077,0.25,0.2727,0.2751,0.3117,0,0,0
778400,2025-04-08,Kansas City Royals,Minnesota Twins,0.4286,0.4,0.2857,0.4,0.3322,0.3322,0,0,0
778394,2025-04-09,Colorado Rockies,Milwaukee Brewers,0.6667,0.2222,0.3333,0.2,0.2717,0.3305,0,0,0
778396,2025-04-09,Arizona Diamondbacks,Baltimore Orioles,0.2,0.3636,0.5,0.5455,0.3289,0.3289,1,1,1
778398,2025-04-09,Seattle Mariners,Houston Astros,0.0,0.1818,0.5,0.2,0.2737,0.3326,0,0,0
778397,2025-04-09,San Francisco Giants,Cincinnati Reds,0.25,0.2,0.2,0.2727,0.2891,0.2721,0,0,0
778395,2025-04-09,Athletics,San Diego Padres,0.25,0.2727,0.5,0.4545,0.2705,0.2705,1,1,1
