id_partido,fecha,equipo_local,equipo_visitante,ratio_local_pct_anota_1inn_local,local_pct_anota_1inn_local,ratio_local_pct_anota_1inn_ult15,local_pct_anota_1inn_ult15,ratio_visit_pct_anota_1inn_visit,visit_pct_anota_1inn_visit,ratio_visit_pct_anota_1inn_ult15,visit_pct_anota_1inn_ult15,ratio_pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera_suavizado,ratio_pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera_suavizado,home_yrfi_target,away_yrfi_target,game_yrfi_target
778498,2025-04-01,113,140,2/4,0.5,2/4,0.5,0/1,0.0,1/5,0.2,0/0,0.2391304347826087,0.2391304347826087,0/1,0.0,0.2277432712215321,0,1,1
778497,2025-04-01,146,121,1/5,0.2,1/5,0.2,0/4,0.0,0/4,0.0,0/1,0.0,0.2312925170068027,0/0,0.24285714285714285,0.24285714285714285,1,0,1
778501,2025-04-01,133,112,0/0,0.3380281690140845,0/4,0.0,0/4,0.0,0/6,0.0,0/0,0.24647887323943662,0.24647887323943662,0/0,0.24647887323943662,0.24647887323943662,0,1,1
778496,2025-04-01,136,116,0/4,0.0,0/4,0.0,1/3,0.3333333333333333,1/3,0.3333333333333333,0/0,0.25,0.25,0/0,0.25,0.25,0,1,1
778499,2025-04-01,135,114,3/4,0.75,3/4,0.75,0/3,0.0,0/3,0.0,0/0,0.2534246575342466,0.2534246575342466,0/0,0.2534246575342466,0.2534246575342466,0,1,1
778505,2025-04-01,117,137,0/3,0.0,0/3,0.0,0/3,0.0,0/3,0.0,0/0,0.25675675675675674,0.25675675675675674,0/0,0.25675675675675674,0.25675675675675674,0,0,0
778484,2025-04-02,147,109,3/4,0.75,3/4,0.75,0/1,0.0,1/5,0.2,0/1,0.0,0.2412698412698413,0/1,0.0,0.2412698412698413,0,1,1
778482,2025-04-02,143,115,0/1,0.0,0/4,0.0,0/4,0.0,0/4,0.0,0/1,0.0,0.2443609022556391,0/1,0.0,0.2443609022556391,0,0,0
778483,2025-04-02,110,111,1/1,1.0,4/5,0.8,0/5,0.0,0/5,0.0,0/1,0.0,0.2411873840445269,0/1,0.0,0.2411873840445269,0,0,0
778481,2025-04-02,146,121,2/6,0.3333333333333333,2/6,0.3333333333333333,0/5,0.0,0/5,0.0,0/1,0.0,0.23809523809523808,0/1,0.0,0.23809523809523808,0,1,1
778475,2025-04-02,117,137,0/4,0.0,0/4,0.0,0/4,0.0,0/4,0.0,0/1,0.0,0.24110910186859555,0/0,0.25316455696202533,0.25316455696202533,0,1,1
778469,2025-04-02,136,116,0/5,0.0,0/5,0.0,2/4,0.5,2/4,0.5,0/1,0.0,0.24404761904761904,0/1,0.0,0.24404761904761904,0,0,0
778476,2025-04-02,135,114,3/5,0.6,3/5,0.6,1/4,0.25,1/4,0.25,0/1,0.0,0.24103468547912993,0/1,0.0,0.24103468547912993,0,0,0
778478,2025-04-02,141,120,2/6,0.3333333333333333,2/6,0.3333333333333333,0/2,0.0,0/5,0.0,0/0,0.25,0.25,0/1,0.0,0.23809523809523808,1,0,1
778474,2025-04-02,145,142,2/5,0.4,2/5,0.4,1/5,0.2,1/5,0.2,0/1,0.0,0.24096385542168675,1/1,1.0,0.28858290304073436,0,1,1
778471,2025-04-02,133,112,0/1,0.0,0/5,0.0,1/5,0.2,1/7,0.14285714285714285,0/1,0.0,0.24376417233560088,0/1,0.0,0.24376417233560088,0,0,0
778477,2025-04-02,158,118,0/2,0.0,1/5,0.2,1/2,0.5,1/5,0.2,1/1,1.0,0.28851540616246496,0/1,0.0,0.24089635854341734,1,0,1
778479,2025-04-02,139,134,2/5,0.4,2/5,0.4,1/6,0.16666666666666666,1/6,0.16666666666666666,0/1,0.0,0.24363233665559247,0/1,0.0,0.24363233665559247,0,0,0
778480,2025-04-02,113,140,2/5,0.4,2/5,0.4,1/2,0.5,2/6,0.3333333333333333,0/1,0.0,0.240831964969896,0/1,0.0,0.240831964969896,0,0,0
778487,2025-04-02,119,144,2/4,0.5,2/6,0.3333333333333333,1/5,0.2,1/5,0.2,0/0,0.25,0.25,1/1,1.0,0.2857142857142857,0,0,0
778494,2025-04-02,133,112,0/2,0.0,0/6,0.0,1/6,0.16666666666666666,1/8,0.125,0/1,0.0,0.23542001070090957,1/2,0.5,0.27017364657814097,1,1,1
778486,2025-04-02,136,116,0/6,0.0,0/6,0.0,2/5,0.4,2/5,0.4,0/1,0.0,0.24338624338624337,0/0,0.25555555555555554,0.25555555555555554,0,1,1
778485,2025-04-02,135,114,3/6,0.5,3/6,0.5,1/5,0.2,1/5,0.2,1/1,1.0,0.293563579277865,0/0,0.25824175824175827,0.25824175824175827,0,0,0
778489,2025-04-02,117,137,0/5,0.0,0/5,0.0,1/5,0.2,1/5,0.2,0/0,0.2554347826086957,0.2554347826086957,1/1,1.0,0.29089026915113875,0,0,0
778473,2025-04-02,138,108,3/5,0.6,3/5,0.6,1/5,0.2,1/5,0.2,0/1,0.0,0.24065540194572452,0/1,0.0,0.24065540194572452,0,1,1
