fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-05-11,777961,108,110,0.48010606,0.3376143,0.21511903,1,1,1,0,0,0
2025-05-11,777956,142,137,0.5448684,0.20825939,0.42515063,1,0,1,0,0,0
2025-05-11,777958,136,141,0.8184764,0.46979728,0.65763354,0,0,0,1,0,1
2025-05-11,777965,118,111,0.66812634,0.48132282,0.36015382,0,0,0,1,0,0
2025-05-11,777967,134,144,0.6529334,0.36668497,0.45198426,0,0,0,1,0,0
2025-05-11,777957,133,147,0.8345219,0.6827011,0.4784788,0,0,0,1,1,0
2025-05-11,777966,145,146,0.8770878,0.7910641,0.41172296,0,0,0,1,1,0
2025-05-11,777955,115,135,0.8543737,0.74290055,0.43357983,1,1,1,1,1,0
2025-05-12,777953,143,138,0.5242036,0.06812498,0.48942035,0,0,0,0,0,0
2025-05-12,777960,114,158,0.6543615,0.5796045,0.17782545,0,0,0,1,1,0
2025-05-12,777951,116,111,0.68296266,0.56376404,0.2732434,1,1,0,1,1,0
2025-05-12,777959,144,120,0.6862746,0.15155715,0.6302339,0,0,0,1,0,1
2025-05-12,777952,112,146,0.7257617,0.45420575,0.4975427,0,0,0,1,0,0
2025-05-12,777950,121,134,0.5217896,0.42128426,0.17366962,0,0,0,0,0,0
2025-05-13,777939,137,109,0.83292687,0.73151994,0.37770757,0,0,0,1,1,0
2025-05-13,777944,114,158,0.9046057,0.8192927,0.4721058,1,1,0,1,1,0
2025-05-13,777949,140,115,0.78518754,0.48435056,0.5834138,0,0,0,1,0,1
2025-05-13,777948,117,118,0.6474126,0.26402554,0.5209244,0,0,0,1,0,0
2025-05-13,777947,135,108,0.47919667,0.3691963,0.17438123,0,0,0,0,0,0
2025-05-13,777941,136,147,0.28433204,0.18238777,0.124685325,1,1,0,0,0,0
2025-05-13,777943,121,134,0.6371374,0.44131806,0.35050252,1,1,0,1,0,0
2025-05-13,777935,141,139,0.62747914,0.2578823,0.49802998,0,0,0,1,0,0
2025-05-13,777942,144,120,0.9430236,0.8764186,0.53895694,1,0,1,1,1,0
2025-05-13,777936,112,146,0.85924566,0.6518432,0.59571564,0,0,0,1,1,1
2025-05-13,777945,113,145,0.6692121,0.19252469,0.59034306,0,0,0,1,0,1
2025-05-13,777940,116,111,0.57168835,0.31618315,0.37364566,1,1,0,1,0,0
2025-05-14,777938,110,142,0.7242636,0.4768204,0.47296032,1,0,1,1,0,0
2025-05-14,777934,140,115,0.6569977,0.108908646,0.6150762,1,1,1,1,0,1
2025-05-14,777931,117,118,0.2822662,0.1819533,0.12262489,0,0,0,0,0,0
2025-05-14,777933,143,138,0.45561212,0.17084579,0.3434419,1,1,1,0,0,0
2025-05-14,777926,136,147,0.7346599,0.35930803,0.58585393,0,0,0,1,0,1
